image_hr,image_lr
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000001.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000001x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000002.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000002x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000003.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000003x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000004.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000004x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000005.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000005x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000006.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000006x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000007.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000007x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000008.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000008x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000009.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000009x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000010.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000010x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000011.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000011x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000012.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000012x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000013.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000013x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000014.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000014x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000015.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000015x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000016.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000016x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000017.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000017x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000018.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000018x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000019.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000019x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000020.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000020x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000021.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000021x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000022.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000022x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000023.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000023x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000024.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000024x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000025.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000025x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000026.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000026x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000027.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000027x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000028.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000028x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000029.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000029x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000030.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000030x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000031.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000031x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000032.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000032x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000033.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000033x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000034.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000034x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000035.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000035x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000036.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000036x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000037.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000037x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000038.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000038x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000039.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000039x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000040.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000040x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000041.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000041x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000042.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000042x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000043.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000043x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000044.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000044x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000045.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000045x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000046.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000046x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000047.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000047x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000048.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000048x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000049.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000049x4.png
/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_HR/000050.png,/home/ubuntu/fastestimator_data/DRLN/Flickr2K/Flickr2K_LR_bicubic/X4/000050x4.png
